variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,tau_,regularization
MacJuv,0.7422948334424014,0.25130997731851185,0.6470719531742739,0.12719919827924073,0.7973876168868744,21,"[""StrPur""]",0.2,1000.0
MacPyr,1.8997460282027963,0.522014206790261,1.0775469190004583,0.19217682814993794,0.37318883581173873,21,"[""StrPur""]",0.2,1000.0
MacJuv,0.7082451669869839,0.24535519249498589,0.6335172676469112,0.12387514653476214,0.8059809702143981,21,"[""PycHel""]",0.2,1000.0
MacPyr,1.9130606925936249,0.5308326950124737,1.0854839759974833,0.19167488495448748,0.37110807549072167,21,"[""PycHel""]",0.2,1000.0
MacJuv,0.7951073589418498,0.2644387661386302,0.6678271971420036,0.13212005784499672,0.7787941937759347,21,"[""StrPur"", ""PycHel""]",0.2,1000.0
MacPyr,1.9735916236783697,0.5737076416508403,1.086360966879683,0.19917473149456108,0.33228977679395016,21,"[""StrPur"", ""PycHel""]",0.2,1000.0
MacJuv,1.766334934295956,0.48653515302353406,1.073069754541692,0.1753362820673161,-0.4302271692179288,21,String[],0.5,1000.0
MacPyr,2.1866724941270776,0.6667555694481707,1.1181357860035406,0.2163844793631607,-0.3079913648634569,21,String[],0.5,1000.0
MacJuv,1.7663352714537979,0.48653521635450236,1.0730698205146947,0.17533630995238242,-0.4302262052931845,21,"[""StrPur""]",0.5,1000.0
MacPyr,2.186672429809263,0.6667555309853586,1.1181357700829668,0.21638447604556052,-0.3079920842185761,21,"[""StrPur""]",0.5,1000.0
MacJuv,1.7663317522655144,0.48653279612918415,1.073069638865887,0.17533586376006324,-0.43022152733366203,21,"[""PycHel""]",0.5,1000.0
MacPyr,2.186672545115858,0.6667555565508425,1.1181358575194706,0.216384466776737,-0.3079908403799545,21,"[""PycHel""]",0.5,1000.0
MacJuv,1.766335339461789,0.4865352733510128,1.0730697986295066,0.175336326346114,-0.4302259999838865,21,"[""StrPur"", ""PycHel""]",0.5,1000.0
MacPyr,2.1866725220967815,0.6667555863940544,1.1181357927910638,0.21638448084096518,-0.30799106403914384,21,"[""StrPur"", ""PycHel""]",0.5,1000.0
