time,series,juv,adult
32,6,-1.28534570659737,-2.07495487016591
33,6,-1.28534570659737,-2.07495487016591
34,6,-0.753044290768257,-2.07495487016591
35,6,1.06338689461112,1.19635792656535
36,6,-0.114826685413702,0.522024150475759
37,6,0.700116646473982,1.10017730129088
38,6,0.133488665124307,0.991442680625274
40,6,-0.647128101242814,-0.653026730636419
41,6,-1.28534570659737,-2.07495487016591
42,6,-1.28534570659737,-2.07495487016591
43,6,-1.28534570659737,-2.07495487016591
44,6,-0.882675230126054,-1.73675695726528
45,6,0.820145206886725,0.866377801157833
46,6,0.37739465332077,0.540356727635874
47,6,0.885981319317528,0.642619163093913
49,6,0.440259246743124,0.828742905488951
50,6,1.360141181557,0.484104044107036
51,6,0.523390919940853,0.828742905488951
52,6,0.18192760153217,0.789329336440921
53,6,-0.154906762508342,0.15554899795196
54,6,-0.244457624771499,-0.242252742734404
55,6,0.737013533688995,1.02253070195992
57,6,0.938829618066938,0.464477287193792
60,6,1.23810421568827,0.719195719066381
61,6,0.670819815399244,0.890556267503324
63,6,-0.557577238979657,-0.113675863621332
64,6,-0.411580972359574,0.126279374293161
65,6,0.080640366374898,0.237657733094583
67,6,0.158212851699816,0.815810883909706
68,6,-0.411580972359574,0.0959451701662267
69,6,-0.0421155732236146,-0.113675863621332
70,6,-0.411580972359574,0.0317520670695359
71,6,-0.557577238979657,-0.289928500472415
72,6,-0.411580972359574,-0.513687138536336
