variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacPyr,1.8241234699955053,0.5237236746721892,1.0160073698754217,0.19897895546443264,0.16098631794190899,21,String[],1,0.1,2,1000.0,4
MacJuv,0.5264502459880537,0.17068869085037583,0.5344869668640558,0.10972099348814598,0.6119170117377956,21,"[""StrPur""]",2,0.1,2,1000.0,4
MacPyr,1.8307453379205039,0.5256922787966949,1.0176211140069427,0.19939817028345236,0.15885943321464263,21,"[""StrPur""]",2,0.1,2,1000.0,4
MacJuv,0.5278713960332173,0.1730735205627454,0.5342175725041478,0.11010971375428073,0.6101278723420341,21,"[""PycHel""]",3,0.1,2,1000.0,4
MacPyr,1.7060622452021694,0.4932371509083762,0.9695538560532222,0.19570737919333767,0.1935778966709747,21,"[""PycHel""]",3,0.1,2,1000.0,4
MacJuv,0.5289367911438217,0.172932671454597,0.5355829926913531,0.1100199184428883,0.6092547191951058,21,"[""StrPur"", ""PycHel""]",4,0.1,2,1000.0,4
MacPyr,1.754062681193123,0.509517617573869,0.9761523761894259,0.2001485972537481,0.17818795897129217,21,"[""StrPur"", ""PycHel""]",4,0.1,2,1000.0,4
MacJuv,0.5887536003078965,0.22364016130319103,0.571905509575773,0.11438480852472761,0.6752480438888967,21,String[],1,0.2,3,1000.0,4
MacPyr,1.4687481543353997,0.45222905735573393,0.9273941667034445,0.17445460926840303,0.37919038436740066,21,String[],1,0.2,3,1000.0,4
MacJuv,0.5899720653783339,0.22424895504560508,0.5722280304224174,0.11457031608955583,0.6742145988146393,21,"[""StrPur""]",2,0.2,3,1000.0,4
MacPyr,1.465518317494568,0.45142869018126197,0.9264512734048738,0.17424212399719188,0.3804222092891858,21,"[""StrPur""]",2,0.2,3,1000.0,4
MacJuv,0.5911942375290389,0.22449416164816677,0.573226412222579,0.11458745957989229,0.6732757378397193,21,"[""PycHel""]",3,0.2,3,1000.0,4
MacPyr,1.4622172190761473,0.4518671954075012,0.9218856994583431,0.17497770946757027,0.384604602090997,21,"[""PycHel""]",3,0.2,3,1000.0,4
MacJuv,0.5894250134188967,0.2241146938983692,0.5722553988933119,0.11444404131634668,0.6748160377911498,21,"[""StrPur"", ""PycHel""]",4,0.2,3,1000.0,4
MacPyr,1.4654721669350923,0.4524117908276414,0.9229104214443575,0.17517256076858767,0.3836850782202666,21,"[""StrPur"", ""PycHel""]",4,0.2,3,1000.0,4
MacJuv,0.8417725816437132,0.2812708622895224,0.7204199600316298,0.1270369361311383,0.37998783219108107,21,String[],1,0.5,4,1000.0,4
MacPyr,1.3412747747577218,0.4310010372436792,0.86871230551796,0.17126203680316787,0.4688779036605052,21,String[],1,0.5,4,1000.0,4
MacJuv,0.8417992321105048,0.28128880492930936,0.7204359773329843,0.1270376390434686,0.38005954107949735,21,"[""StrPur""]",2,0.5,4,1000.0,4
MacPyr,1.3412359213784781,0.43099054922735586,0.8687066043256545,0.17125781105973947,0.46885101070857105,21,"[""StrPur""]",2,0.5,4,1000.0,4
MacJuv,0.8417787031720558,0.2812855336492084,0.7204233812606285,0.12703717072279647,0.3801138497671749,21,"[""PycHel""]",3,0.5,4,1000.0,4
MacPyr,1.341333242647671,0.4310113711950783,0.8687516164669054,0.17126060135562554,0.4688294135050915,21,"[""PycHel""]",3,0.5,4,1000.0,4
MacJuv,0.8415741647394926,0.2812852885425113,0.7202686607265348,0.12704078500912547,0.3805105383910591,21,"[""StrPur"", ""PycHel""]",4,0.5,4,1000.0,4
MacPyr,1.3394582142834504,0.4304614251736175,0.8679579844764417,0.17118807660976915,0.46910008777589923,21,"[""StrPur"", ""PycHel""]",4,0.5,4,1000.0,4
